latitude,longitude,altitude,geometry,coordinates,FID,OBJECTID,DAUID,Former_Mun,Community,Neighbourh,Ward,DApop2016,DApop201_1,DAPop2006,Total_Age,A0_4,A0,A1,A2,A3,A4,A5_9,A5,A6,A7,A8,A9,A10_14,A10,A11,A12,A13,A14,A15_64,A15_19,A15,A16,A17,A18,A19,A20_24,A20,A21,A22,A23,A24,A25_29,A25,A26,A27,A28,A29,A30_34,A30,A31,A32,A33,A34,A35_39,A35,A36,A37,A38,A39,A40_44,A40,A41,A42,A43,A44,A45_49,A45,A46,A47,A48,A49,A50_54,A50,A51,A52,A53,A54,A55_59,A55,A56,A57,A58,A59,A60_64,A60,A61,A62,A63,A64,A65plus,A65_59,A65,A66,A67,A68,A69,A70_74,A70,A71,A72,A73,A74,A75_79,A75,A76,A77,A78,A79,A80_84,A80,A81,A82,A83,A84,A85plus,A85_89,A85,A86,A87,A88,A89,A90_94,A90,A91,A92,A93,A94,A95_99,A95,A96,A97,A98,A99,A100plus,Shape__Area,Shape__Length
,,,Polygon,"-80.98467369066,46.5158258826294,-80.9851065944455,46.5146575981636,-80.9858712713383,46.5148274848287,-80.9860673706202,46.5148389706828,-80.9862070788396,46.5148205745699,-80.9863634865709,46.5147633814958,-80.9865068926352,46.5146823847122,-80.9867884791568,46.5144539905486,-80.9869444722908,46.5143628773903,-80.9871813748629,46.514280173276,-80.9873870707156,46.5142296826613,-80.9884968776368,46.5140227788762,-80.9887518899703,46.5139441933102,-80.9889316976576,46.5138636875227,-80.9890788829605,46.513770385505,-80.9890855921832,46.5137650935196,-80.9892893855876,46.513605587046,-80.989397368639,46.5134731743626,-80.98950237055,46.5132765901214,-80.9895445828692,46.5130357862422,-80.9894967909403,46.5120874783147,-80.9895170941615,46.5117986805529,-80.9895975948444,46.5116119817103,-80.9898970846867,46.5111880808454,-80.9899498893891,46.5111192813308,-80.989985071323,46.5110606938252,-80.9900231953246,46.5109514733642,-80.9902102746675,46.5104891832395,-80.9903443711865,46.5101579882017,-80.9907056700076,46.5092651791638,-80.9911335711301,46.5093390903543,-80.9912532756839,46.509356794465,-80.9914115781826,46.5093597898055,-80.9915921939052,46.5093593793429,-80.9918782806809,46.5093586854455,-80.993077266261,46.5093559861158,-80.9934556890223,46.5093551930279,-80.993647482399,46.5093393826447,-80.9937717982714,46.5093100833753,-80.9938857890246,46.5092831925963,-80.9940093578027,46.5092416185549,-80.9941223953632,46.5092035914582,-80.9942768887041,46.5091211733955,-80.9944462774536,46.5090132709465,-80.9955659836252,46.5080259881773,-80.9963671015586,46.5153588966143,-80.9956870872587,46.5192785966982,-80.9955502801114,46.5193677785507,-80.9942366802891,46.5202536888688,-80.9925807744639,46.5213335919688,-80.9920685025392,46.5215942845378,-80.9915767878693,46.5217924971429,-80.9912002701148,46.521927274425,-80.9909509915902,46.5219993816386,-80.990547789733,46.5220936982107,-80.9901882867778,46.5221632756349,-80.989819886774,46.5222145974103,-80.9895736782167,46.5222383780687,-80.9893426806658,46.5222548844029,-80.9893372725463,46.5222552717783,-80.9891132926679,46.5222671921476,-80.9887906990399,46.5222739907315,-80.9882072026879,46.5222789853045,-80.9871929779953,46.52228288555,-80.9856424880511,46.522272496917,-80.9850873431847,46.5222682024249,-80.9850438911708,46.5222678745698,-80.9846807940174,46.5222701637004,-80.9840936849518,46.5222738750738,-80.9834651930805,46.5222937909955,-80.9834877986945,46.521813383659,-80.9835059979748,46.5217010839625,-80.98354839182,46.5214390951049,-80.9837082660433,46.52043898578,-80.9838171742858,46.5198635978055,-80.9839194809496,46.5193233851842,-80.9839705728703,46.5190533751063,-80.9840031956596,46.5189585975723,-80.9841755685363,46.5180245823311,-80.9842839783103,46.5174802752683,-80.9843563901607,46.5170842735626,-80.9844348965176,46.5166571945395,-80.9845170730027,46.5163298937118,-80.98467369066,46.5158258826294",1,1,35530097,Sudbury,Sudbury,Flour Mill,5,878,882,883,875,85,15,15,25,15,20,85,10,25,20,10,20,50,10,10,10,10,10,595,55,10,15,10,10,10,75,10,15,10,25,10,85,20,20,20,15,15,65,5,20,15,10,10,45,15,10,10,10,5,55,5,15,15,5,10,55,10,10,10,10,20,55,10,10,15,10,15,55,10,5,10,5,20,45,10,5,10,5,10,70,25,10,10,5,5,0,20,5,0,5,0,5,10,0,5,0,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1007407.46313477,4476.03456492877
,,,Polygon,"-80.9701386596534,46.5203751921162,-80.970154965401,46.5185701725243,-80.9713736816583,46.5185765874676,-80.9726026856655,46.5185905919905,-80.9740164594628,46.5185950904283,-80.9754374679341,46.5186133917181,-80.9754158851154,46.5204410960091,-80.9766361748127,46.5204495845068,-80.9766227656827,46.5213044841929,-80.9766300849474,46.5222075822164,-80.9761923795456,46.522206975389,-80.9748733781642,46.5222051876629,-80.9739495871857,46.5222038848858,-80.9737983847131,46.5222045775152,-80.972572892338,46.5221952799417,-80.9713387698696,46.5222024919962,-80.9702795697565,46.5221838986925,-80.9701275652857,46.5221801773964,-80.9701168739053,46.5215460908666,-80.9701386596534,46.5203751921162",2,2,35530099,Sudbury,Sudbury,New Sudbury,5,526,507,503,525,25,10,5,5,5,0,25,10,0,5,5,5,15,0,0,5,5,0,365,25,5,5,0,5,5,45,5,5,10,15,10,40,15,10,5,10,5,35,5,5,10,10,5,30,10,5,5,10,0,35,5,10,5,5,5,25,5,5,0,5,5,50,5,10,15,5,10,45,5,10,5,15,10,40,5,5,5,10,5,95,30,5,5,5,10,5,15,0,0,5,0,5,15,5,0,0,5,5,15,0,5,5,0,0,15,10,5,0,5,0,5,5,0,5,0,0,5,0,0,0,0,0,0,0,180817.749511719,1797.22809743634
,,,Polygon,"-80.963432666862,46.5233806959045,-80.9634334886545,46.522120799444,-80.966041763888,46.5221402891553,-80.9662997133756,46.5221421383426,-80.9677457836209,46.5221524888799,-80.9679892752146,46.5221618744777,-80.9679919873949,46.5225453834836,-80.9679852651431,46.5228338926988,-80.9679521574237,46.5229769964822,-80.967879676847,46.5230837950444,-80.9677839663086,46.5232390935246,-80.9677050655189,46.5233562792071,-80.967668794906,46.5235061820383,-80.9676717737797,46.5237638894784,-80.9702881874683,46.5237699941673,-80.9703011761464,46.5259422989311,-80.9695262731841,46.5259299790852,-80.9691827718904,46.5259268839271,-80.9689405940571,46.5259388831794,-80.9686385677652,46.5260163855911,-80.9682675704585,46.5261627935717,-80.9681079600344,46.5262191968374,-80.9678123913361,46.5262486981571,-80.9676066838439,46.5262580013866,-80.9671851833821,46.5262438780108,-80.9668615677964,46.5262391742719,-80.9665614829231,46.5262390860491,-80.9663827718851,46.5262482815717,-80.9662343911561,46.526259885942,-80.9654515807021,46.5263871933145,-80.9649560847616,46.5265399911303,-80.9644995713471,46.5267377982656,-80.9637038791894,46.5271785903935,-80.9634821633224,46.5272504934315,-80.9630257593046,46.5272953848849,-80.9625955929795,46.5272411948691,-80.9621914717454,46.5271150859425,-80.9618133890114,46.5269619830422,-80.9630270824583,46.525360480849,-80.963262070744,46.5250005894321,-80.96334038069,46.5248026000031,-80.9634188925554,46.5244155955296,-80.963432666862,46.5233806959045",3,3,35530102,Sudbury,Sudbury,New Sudbury,12,433,421,425,435,20,5,5,5,5,5,20,5,0,5,5,5,15,5,0,5,0,5,280,20,0,5,0,10,5,20,10,5,5,5,5,20,0,5,5,5,5,30,5,5,10,5,0,25,5,5,5,5,5,25,5,0,0,5,5,30,0,5,10,0,5,30,5,10,5,5,5,35,10,10,5,5,10,45,10,15,10,10,5,100,35,10,0,5,5,5,30,5,5,5,5,5,20,5,0,5,0,5,20,5,0,0,5,5,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,230117.023681641,2237.95694379811
,,,Polygon,"-80.971905395847,46.5261742787573,-80.9717066804476,46.5258574954786,-80.9713608839002,46.5259005801022,-80.9710842951973,46.5259322806098,-80.9703011761464,46.5259422989311,-80.9702881874683,46.5237699941673,-80.9676717737797,46.5237638894784,-80.967668794906,46.5235061820383,-80.9677050655189,46.5233562792071,-80.9677839663086,46.5232390935246,-80.967879676847,46.5230837950444,-80.9679521574237,46.5229769964822,-80.9679852651431,46.5228338926988,-80.9679919873949,46.5225453834836,-80.9679892752146,46.5221618744777,-80.9701275652857,46.5221801773964,-80.9702795697565,46.5221838986925,-80.9713387698696,46.5222024919962,-80.972572892338,46.5221952799417,-80.9737983847131,46.5222045775152,-80.9737975720812,46.5238244889447,-80.9737864776981,46.5249066954021,-80.9737732939546,46.5250543987344,-80.9737468722128,46.5252156765932,-80.9735815892471,46.5255601795835,-80.9734892714549,46.5257691764575,-80.9734529900774,46.5259303871463,-80.973459578284,46.5260485927953,-80.9734693668401,46.5262029889291,-80.9735251901135,46.5264051957377,-80.9736501860899,46.5266119938183,-80.9725765840039,46.5269695891274,-80.971905395847,46.5261742787573",4,4,35530103,Sudbury,Sudbury,New Sudbury,5,402,420,416,400,15,5,5,0,0,5,15,5,5,5,5,0,10,0,5,0,5,0,265,25,5,0,0,10,15,35,5,5,10,0,5,25,5,0,5,5,10,20,5,5,5,5,5,20,5,5,0,5,0,25,5,5,5,10,5,25,5,5,10,5,0,30,10,10,0,0,5,35,5,5,5,5,10,25,5,10,5,5,5,80,30,5,5,10,5,5,25,0,10,5,0,5,15,5,0,0,0,0,5,0,0,0,0,0,10,5,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,153723.538818359,1906.32885201495
,,,Polygon,"-81.0049006692135,46.5151779892096,-81.0056306888468,46.5150879899768,-81.0057531999118,46.5159527910886,-81.0058053985472,46.5171676825853,-81.0059493883997,46.5222703882717,-81.0060406907399,46.5227923916254,-81.0060147111118,46.5234853757361,-81.0059234939625,46.5237193751651,-81.0053368885081,46.5247362981721,-81.0042938936315,46.5263652758945,-81.0040853032239,46.5266442954519,-81.004032911942,46.5266941042174,-81.0018036004922,46.5288131914888,-81.0012559900928,46.5292811985081,-80.9999137001294,46.5303105988396,-80.9966221313521,46.5339218639345,-80.9897288587624,46.5367373511834,-80.9897284022876,46.5367375293325,-80.9867104874075,46.5367724804134,-80.9859106002763,46.5367850451952,-80.9826229403579,46.5368108644019,-80.9814382657621,46.5368237959918,-80.9791671729816,46.5368485279621,-80.9793863981198,46.5359389956293,-80.9795691925306,46.535462095476,-80.9812787948051,46.5317814998268,-80.9818399011324,46.5304766834832,-80.9820618746724,46.5296397966751,-80.9827916777616,46.5258521988923,-80.9829175016507,46.5251480758956,-80.9832448942076,46.5233980755462,-80.9833872889494,46.5226439942227,-80.9834651930805,46.5222937909955,-80.9840936849518,46.5222738750738,-80.9846807940174,46.5222701637004,-80.9850438911708,46.5222678745698,-80.9850873431847,46.5222682024249,-80.9856424880511,46.522272496917,-80.9871929779953,46.52228288555,-80.9882072026879,46.5222789853045,-80.9887906990399,46.5222739907315,-80.9891132926679,46.5222671921476,-80.9893372725463,46.5222552717783,-80.9893426806658,46.5222548844029,-80.9895736782167,46.5222383780687,-80.989819886774,46.5222145974103,-80.9901882867778,46.5221632756349,-80.990547789733,46.5220936982107,-80.9909509915902,46.5219993816386,-80.9912002701148,46.521927274425,-80.9915767878693,46.5217924971429,-80.9920685025392,46.5215942845378,-80.9925807744639,46.5213335919688,-80.9942366802891,46.5202536888688,-80.9955502801114,46.5193677785507,-80.9956870872587,46.5192785966982,-80.9973265986778,46.5181838823365,-80.9997514839379,46.5165819874153,-80.9998166906425,46.5165369880918,-81.0002337979245,46.5162940816961,-81.0005466881625,46.5161410922191,-81.0008725946084,46.5159880774845,-81.0012375951339,46.5158530892594,-81.0016025852561,46.5157360917279,-81.0020588857023,46.5156280819518,-81.00243690465,46.51553808551,-81.0047009911707,46.515207188473,-81.0049006692135,46.5151779892096",5,5,35530104,Sudbury,Sudbury,New Sudbury,5,415,418,416,415,25,5,5,5,10,0,10,0,5,0,5,5,10,0,0,5,0,0,340,35,5,0,10,5,15,75,15,20,15,10,10,55,15,20,5,5,10,40,5,5,5,10,10,25,5,5,0,5,5,30,5,5,5,5,5,10,5,0,5,5,5,25,0,0,10,5,5,35,10,5,5,10,5,15,0,5,5,5,5,25,5,0,0,0,0,5,10,5,5,0,5,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866195.14086914,7363.287071852
,,,Polygon,"-80.9616175653881,46.5273578744563,-80.9618133890114,46.5269619830422,-80.9621914717454,46.5271150859425,-80.9625955929795,46.5272411948691,-80.9630257593046,46.5272953848849,-80.9634821633224,46.5272504934315,-80.9637038791894,46.5271785903935,-80.9644995713471,46.5267377982656,-80.9649560847616,46.5265399911303,-80.9654515807021,46.5263871933145,-80.9662343911561,46.526259885942,-80.9663827718851,46.5262482815717,-80.9665614829231,46.5262390860491,-80.9668615677964,46.5262391742719,-80.9671851833821,46.5262438780108,-80.9676066838439,46.5262580013866,-80.9678123913361,46.5262486981571,-80.9681079600344,46.5262191968374,-80.9682675704585,46.5261627935717,-80.9686385677652,46.5260163855911,-80.9689405940571,46.5259388831794,-80.9691827718904,46.5259268839271,-80.9695262731841,46.5259299790852,-80.9703011761464,46.5259422989311,-80.9710842951973,46.5259322806098,-80.9713608839002,46.5259005801022,-80.9717066804476,46.5258574954786,-80.971905395847,46.5261742787573,-80.9725765840039,46.5269695891274,-80.9736501860899,46.5266119938183,-80.9735251901135,46.5264051957377,-80.9734693668401,46.5262029889291,-80.973459578284,46.5260485927953,-80.9734529900774,46.5259303871463,-80.9734892714549,46.5257691764575,-80.9735815892471,46.5255601795835,-80.9737468722128,46.5252156765932,-80.9737732939546,46.5250543987344,-80.9737864776981,46.5249066954021,-80.9737975720812,46.5238244889447,-80.9737983847131,46.5222045775152,-80.9739495871857,46.5222038848858,-80.9748733781642,46.5222051876629,-80.9761923795456,46.522206975389,-80.9766300849474,46.5222075822164,-80.9772785947477,46.5222197911162,-80.9782638011169,46.5222383811718,-80.9791280959626,46.5222546917656,-80.9798933680827,46.522251074229,-80.9803824734982,46.5222487859744,-80.9809201796286,46.5222462778566,-80.9819592838728,46.5222701988747,-80.9823349964469,46.5222678762339,-80.9829677701111,46.5222726951408,-80.9834651930805,46.5222937909955,-80.9833872889494,46.5226439942227,-80.9832448942076,46.5233980755462,-80.9829175016507,46.5251480758956,-80.9827916777616,46.5258521988923,-80.9820618746724,46.5296397966751,-80.9818399011324,46.5304766834832,-80.9812787948051,46.5317814998268,-80.9795691925306,46.535462095476,-80.9793863981198,46.5359389956293,-80.9791671729816,46.5368485279621,-80.9749993207098,46.536897031003,-80.9716242529126,46.536923181831,-80.9697134872313,46.5369361920693,-80.9645891487809,46.5369934639672,-80.9636529213422,46.5369963921549,-80.9604970651353,46.5370353639892,-80.9526611542289,46.5371127849645,-80.9602373128905,46.5356781470075,-80.9600424199005,46.5351628640567,-80.9599816950006,46.5350018516751,-80.9594485057237,46.5334153983046,-80.9593685114233,46.5324283160882,-80.959318470852,46.5321667502079,-80.9593121548291,46.5321345216356,-80.9592734583025,46.5318799397724,-80.9592826229105,46.5317925785391,-80.9593144545744,46.5314349396185,-80.9593654289178,46.5308701181303,-80.9595370028427,46.5300617289102,-80.9596504471689,46.5297430486994,-80.9596845159134,46.5296420115298,-80.9600861565429,46.5291972094514,-80.9607587691441,46.5287211233095,-80.9612854596838,46.5281839626991,-80.9615259782989,46.5278347980158,-80.9616175653881,46.5273578744563",6,6,35530105,Sudbury,Sudbury,New Sudbury,5,752,772,762,750,20,5,5,0,10,5,35,5,15,10,10,10,35,10,10,10,5,10,490,45,10,5,10,10,15,55,15,10,20,10,5,40,5,10,10,10,5,35,5,5,10,5,10,35,5,5,10,5,5,40,10,10,10,10,10,50,10,5,10,10,10,60,10,10,15,10,10,80,20,10,10,25,15,50,5,10,10,10,10,165,55,15,10,15,5,10,50,10,15,5,10,5,30,10,10,10,0,5,20,5,5,5,0,5,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257854.83984375,7594.89772379322
,,,Polygon,"-80.9560422812696,46.5268920807612,-80.9560554934911,46.5267562786858,-80.9560756631166,46.5260995856202,-80.9571461559208,46.5261143890748,-80.9571325737323,46.5268882854538,-80.9572237571377,46.5269692846045,-80.9574062719113,46.5269963980435,-80.9582408659081,46.5268796823866,-80.9597012733164,46.5267092910255,-80.9605619654872,46.526610599044,-80.9607966697215,46.5266285806503,-80.9613441720312,46.5267817982923,-80.9618133890114,46.5269619830422,-80.9616175653881,46.5273578744563,-80.9615259782989,46.5278347980158,-80.9612854596838,46.5281839626991,-80.9607587691441,46.5287211233095,-80.9600861565429,46.5291972094514,-80.9596845159134,46.5296420115298,-80.9596504471689,46.5297430486994,-80.9595370028427,46.5300617289102,-80.9593654289178,46.5308701181303,-80.9587593779522,46.5308666938249,-80.9581871835115,46.530858197567,-80.9581721944728,46.5314694844439,-80.958145971758,46.5315773987239,-80.9580155745631,46.5316133984603,-80.9550684730958,46.5317022910321,-80.9550948612303,46.5312792949287,-80.9551602549379,46.5310272930084,-80.9555787560121,46.5306657967082,-80.9553771623653,46.5305138866648,-80.955321687645,46.5304406909183,-80.9552482807091,46.5303518991834,-80.9551834701092,46.5302483857737,-80.955146765687,46.5300984791867,-80.9551505769264,46.5299561795608,-80.9552276647825,46.5283763764905,-80.9552603739935,46.5276436940856,-80.9558713666381,46.5270777838,-80.9559699805254,46.5269781917931,-80.9560422812696,46.5268920807612",7,7,35530106,Sudbury,Sudbury,New Sudbury,12,657,659,683,655,35,10,5,5,5,5,35,10,5,5,10,5,40,5,10,5,5,10,350,35,10,5,5,10,10,25,5,5,10,0,5,20,5,0,5,5,5,35,5,15,5,10,5,40,5,15,15,10,0,30,5,10,10,5,0,35,10,10,5,5,5,35,5,10,10,5,5,50,10,10,15,10,5,45,10,15,10,5,5,200,80,15,25,15,20,5,50,10,5,15,10,10,30,10,0,10,0,5,30,5,0,5,10,5,10,10,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,208400.797851563,2101.24453537549
,,,Polygon,"-80.9528505591693,46.5329432885974,-80.9528647883351,46.5316473928239,-80.952695554037,46.5312512961172,-80.9527088777975,46.5309812921389,-80.9527359603637,46.5297663905244,-80.9527498737926,46.528731481509,-80.9527770702157,46.5274715755921,-80.9540157714187,46.5274810986432,-80.9541759751246,46.5274696876519,-80.9545251694563,46.5274893973379,-80.9546761780701,46.5275029889344,-80.9548008875106,46.527530295099,-80.9550568670723,46.5275891771662,-80.9552603739935,46.5276436940856,-80.9552276647825,46.5283763764905,-80.9551505769264,46.5299561795608,-80.955146765687,46.5300984791867,-80.9551834701092,46.5302483857737,-80.9552482807091,46.5303518991834,-80.955321687645,46.5304406909183,-80.9553771623653,46.5305138866648,-80.9555787560121,46.5306657967082,-80.9551602549379,46.5310272930084,-80.9550948612303,46.5312792949287,-80.9550684730958,46.5317022910321,-80.955041372936,46.5328991982698,-80.9566322699859,46.5328997836471,-80.9567626674929,46.5329357959224,-80.956814787838,46.5330349001413,-80.9568010602881,46.5340743833829,-80.9568008762203,46.534087788071,-80.9547795593542,46.5340779876069,-80.9545578783765,46.534050887758,-80.953997272468,46.5338976937606,-80.9533715785697,46.533672497881,-80.9531629813346,46.533564387139,-80.9530066545388,46.5334292962914,-80.9528634788858,46.5331142898833,-80.9528505591693,46.5329432885974",8,8,35530107,Sudbury,Sudbury,New Sudbury,12,451,490,518,450,20,0,5,5,5,10,15,0,0,0,10,5,30,5,5,10,5,5,305,30,5,5,5,5,10,35,10,10,5,10,5,30,5,0,5,0,5,25,5,5,0,5,10,20,5,0,5,0,5,30,5,10,10,5,5,40,5,10,5,15,5,45,5,5,10,10,10,35,5,5,10,5,10,25,0,10,10,5,5,80,25,5,10,5,5,5,25,10,5,5,0,5,10,0,0,0,5,5,15,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145882.551513672,2038.02364938709
,,,Polygon,"-80.9503076554752,46.5330231888761,-80.9500598786963,46.5329870937617,-80.9493035848789,46.5329777993901,-80.9492784799711,46.5319787884038,-80.9492002571272,46.5318887937418,-80.94919276321,46.5318872002012,-80.9490307576104,46.5318526879273,-80.94699658163,46.5318427936957,-80.9469974848629,46.5308887978887,-80.9479884698533,46.5308893004477,-80.9481188599353,46.5308713876428,-80.9481841887262,46.5307813978862,-80.9482118649582,46.5291164897107,-80.9494245728362,46.5291169944975,-80.9494250669557,46.5286042755397,-80.9494260825583,46.527434101046,-80.9511952852071,46.5274538909036,-80.9527770702157,46.5274715755921,-80.9527498737926,46.528731481509,-80.9527359603637,46.5297663905244,-80.9527088777975,46.5309812921389,-80.952695554037,46.5312512961172,-80.9528647883351,46.5316473928239,-80.9528505591693,46.5329432885974,-80.9520550922359,46.5329609866755,-80.9516246853543,46.5330148024954,-80.9514551603336,46.5330776930059,-80.9513115897062,46.533167595523,-80.9511027661474,46.5333924787265,-80.9505292892905,46.5330952980621,-80.9503076554752,46.5330231888761",9,9,35530108,Sudbury,Sudbury,New Sudbury,12,374,384,416,370,20,0,5,5,5,5,15,0,0,0,5,5,15,5,5,0,0,0,225,25,5,10,5,0,5,25,5,10,0,5,5,10,0,0,5,0,0,25,0,5,5,5,5,20,5,5,0,5,5,15,0,5,0,0,5,20,5,0,10,5,5,25,0,0,5,10,5,30,10,5,5,10,5,25,5,5,5,5,5,100,30,5,5,10,10,5,15,0,5,0,0,10,25,5,5,5,5,0,20,5,0,10,5,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199587.144775391,2132.74031567248
,,,Polygon,"-80.9439609742331,46.5371071034534,-80.9440167655683,46.5318180997015,-80.9457577591099,46.5318331765907,-80.94699658163,46.5318427936957,-80.9490307576104,46.5318526879273,-80.94919276321,46.5318872002012,-80.9492002571272,46.5318887937418,-80.9492784799711,46.5319787884038,-80.9493035848789,46.5329777993901,-80.9500598786963,46.5329870937617,-80.9503076554752,46.5330231888761,-80.9505292892905,46.5330952980621,-80.9511027661474,46.5333924787265,-80.9513115897062,46.533167595523,-80.9514551603336,46.5330776930059,-80.9516246853543,46.5330148024954,-80.9520550922359,46.5329609866755,-80.9528505591693,46.5329432885974,-80.9528634788858,46.5331142898833,-80.9530066545388,46.5334292962914,-80.9531629813346,46.533564387139,-80.9533715785697,46.533672497881,-80.953997272468,46.5338976937606,-80.9545578783765,46.534050887758,-80.9547795593542,46.5340779876069,-80.9568008762203,46.534087788071,-80.9568010602881,46.5340743833829,-80.956814787838,46.5330349001413,-80.9567626674929,46.5329357959224,-80.9566322699859,46.5328997836471,-80.955041372936,46.5328991982698,-80.9550684730958,46.5317022910321,-80.9580155745631,46.5316133984603,-80.958145971758,46.5315773987239,-80.9581721944728,46.5314694844439,-80.9581871835115,46.530858197567,-80.9587593779522,46.5308666938249,-80.9593654289178,46.5308701181303,-80.9593144545744,46.5314349396185,-80.9592826229105,46.5317925785391,-80.9592734583025,46.5318799397724,-80.9593121548291,46.5321345216356,-80.959318470852,46.5321667502079,-80.9593685114233,46.5324283160882,-80.9594485057237,46.5334153983046,-80.9599816950006,46.5350018516751,-80.9600424199005,46.5351628640567,-80.9602373128905,46.5356781470075,-80.9526611542289,46.5371127849645,-80.9520086929924,46.537115731326,-80.9470900728673,46.5371660399966,-80.9446185649269,46.5371901146738,-80.9440785843837,46.5371959563417,-80.9439016235477,46.5372095588334,-80.9439263729545,46.5371756995617,-80.9439468852012,46.5371519977403,-80.9439609742331,46.5371071034534",10,10,35530109,Sudbury,Sudbury,New Sudbury,12,693,657,666,695,35,0,5,5,10,10,35,5,10,5,10,5,35,10,5,10,10,5,505,35,10,5,5,10,15,90,15,20,25,10,15,75,20,15,10,15,20,50,5,10,10,5,10,35,5,10,10,5,5,30,10,5,10,5,5,40,15,15,5,5,5,40,10,5,10,10,5,55,10,10,10,10,15,45,10,10,10,5,10,90,30,5,5,10,5,5,15,5,5,5,5,0,20,5,0,10,0,0,10,0,0,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,590162.948486328,4412.03783585926
